paper;Dataset;Segmentation;Normalization;Noise reduction;Features type;Feature length;Feature extraction or selection methods;Algorithm type;Architecture;Training dataset;Evaluation dataset;Validation method;Accuracy;EER;Lowest FMR;Lowest FMNR;NONE
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Time domain + frequency domain;21;Defined time domain and frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;89,37%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Time domain + frequency domain;21;Defined time domain and frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;97,48%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Time domain + Wavelet domain;21;Defined time domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;92,83%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Time domain + Wavelet domain;21;Defined time domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;98,33%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain;8;Defined frequency domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;64,84%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain;8;Defined frequency domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;55,13%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain + time domain;25;Defined frequency domain and Wavelet measure and time domain;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;93,90%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain + time domain;25;Defined frequency domain and Wavelet measure and time domain;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;98,65%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Time domain;17;defined time domain measure;Machine Learning;LDC ;80% of all signal of each subject;20% of all signal of each subject;NA;89,38%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Time domain;17;defined time domain measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;93,85%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Freuqency domain;4;Defined frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;38,23%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Freuqency domain;4;Defined frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;28,18%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Wavelet decomposition domain;4;Defined wavelet decomposition measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;57,82%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Wavelet decomposition domain;4;Defined wavelet decomposition measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;65,94%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Time domain + frequency domain;21;Defined time domain and frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;92,24%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Time domain + frequency domain;21;Defined time domain and frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;94,17%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Time domain + Wavelet domain;21;Defined time domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;94,32%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Time domain + Wavelet domain;21;Defined time domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;97,40%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain;8;Defined frequency domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;70,94%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain;8;Defined frequency domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;74,27%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain + time domain;25;Defined frequency domain and Wavelet measure and time domain;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;95,42%;NA;NA;NA;
yang2021study;MIMIC;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain + time domain;25;Defined frequency domain and Wavelet measure and time domain;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;97,76%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Time domain;17;defined time domain measure;Machine Learning;LDC ;80% of all signal of each subject;20% of all signal of each subject;NA;99,04%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Time domain;17;defined time domain measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;99,12%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Freuqency domain;4;Defined frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;43,25%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Freuqency domain;4;Defined frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;37,86%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Wavelet decomposition domain;4;Defined wavelet decomposition measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;70,48%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Wavelet decomposition domain;4;Defined wavelet decomposition measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;78,75%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Time domain + frequency domain;21;Defined time domain and frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;99,12%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Time domain + frequency domain;21;Defined time domain and frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;99,21%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Time domain + Wavelet domain;21;Defined time domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;99,26%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Time domain + Wavelet domain;21;Defined time domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;99,34%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain;8;Defined frequency domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;79,53%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain;8;Defined frequency domain and Wavelet measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;82,98%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain + time domain;25;Defined frequency domain and Wavelet measure and time domain;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;99,47%;NA;NA;NA;
yang2021study;Capnobase IEEE TBME;Sliding window;Zero mean normalization;None;Frequency  domain + Wavelet domain + time domain;25;Defined frequency domain and Wavelet measure and time domain;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;99,69%;NA;NA;NA;
ye2021ppg;BIDMC;single pulse;zero mean;Butterworth 0,5-5Hz;Deep learning features;32;bi layer 1D CNN and two LSTM;Machine learning;KNN with mahalanobis;80% of all the signal of the 12 first users of the DB;20% of all the signal of the 12 first users of the DB;NA;99,72%;NA;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;ResNet + Distance matching (GASF)  + t test;NA;NA;NA;89,60%;10,30%;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;SKNET + Distance matching (GASF)  + t test;NA;NA;NA;89,50%;10,40%;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;Res2Net + Distance matching (GASF)  + t test;NA;NA;NA;89,50%;10,40%;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;NL + Distance matching (GASF)  + t test;NA;NA;NA;89,50%;10,40%;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;SNL + Distance matching (GASF)  + t test;NA;NA;NA;89,60%;10,20%;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;SENet + Distance matching (GASF)  + t test;NA;NA;NA;89,70%;10,00%;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;A² + Distance matching (GASF)  + t test;NA;NA;NA;89,80%;9,80%;NA;NA;
wang2022biomrtric;Capnobase IEEE TBME;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;Deep learning + distance mathing;ROCKET + Distance matching (GASF)  + t test;NA;NA;NA;99,50%;0,40%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);ResNet + Distance matching (GASF)  + t test;NA;NA;NA;95,80%;4,20%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);SKNET + Distance matching (GASF)  + t test;NA;NA;NA;95,90%;3,90%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);Res2Net + Distance matching (GASF)  + t test;NA;NA;NA;96,10%;3,80%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);NL + Distance matching (GASF)  + t test;NA;NA;NA;95,60%;4,30%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);SNL + Distance matching (GASF)  + t test;NA;NA;NA;95,70%;4,30%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);SENet + Distance matching (GASF)  + t test;NA;NA;NA;96,10%;3,70%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);A² + Distance matching (GASF)  + t test;NA;NA;NA;95,90%;4,00%;NA;NA;
wang2022biomrtric;BIDMC;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);ROCKET + Distance matching (GASF)  + t test;NA;NA;NA;99,30%;0,60%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);ResNet + Distance matching (GASF)  + t test;NA;NA;NA;95,20%;4,70%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);SKNET + Distance matching (GASF)  + t test;NA;NA;NA;97,10%;2,80%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);Res2Net + Distance matching (GASF)  + t test;NA;NA;NA;97,00%;2,80%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);NL + Distance matching (GASF)  + t test;NA;NA;NA;96,90%;3,00%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);SNL + Distance matching (GASF)  + t test;NA;NA;NA;97,10%;2,80%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);SENet + Distance matching (GASF)  + t test;NA;NA;NA;96,90%;3,10%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);A² + Distance matching (GASF)  + t test;NA;NA;NA;97,00%;2,80%;NA;NA;
wang2022biomrtric;VITAL DB;4-s signal;Resample signal at 125Hz & zero mean Normalization;DWT (db 8 level 7) + Zeroing noise related + wevelet reconstruction + quality assesment;Whole signal PPG, VPG APG;1500;1DCNN;1DCNN + Distance matching (GASF);ROCKET + Distance matching (GASF)  + t test;NA;NA;NA;96,60%;3,30%;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;12;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;92,14%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;16;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;95,57%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;20;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;97,28%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;24;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;98,57%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;28;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;98,71%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;12;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;97,42%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;16;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;98,57%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;20;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;98,57%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;24;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;98,57%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;28;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (40 neurons);66% of the available data;34% of the available data;NA;97,85%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;12;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;93,71%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;16;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;95,42%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;20;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;96,42%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;24;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;98,85%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;28;FFT & Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;98,85%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;12;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;97,14%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;16;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;98,42%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;20;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;99,42%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;24;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;100,00%;NA;NA;NA;
siam2021ppg;CUSTOM;256 points;None;None;Frequency features;28;FFT & Modified Mel scale filter bank& DCT;Deep learning;MLP Feed forward single hidden layer (45 neurons);66% of the available data;34% of the available data;NA;98,57%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time domain;17;fiducial;Machine learning;Euclidian distance;60%;30%;NA;89,65%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time domain;NA;MSDF;Machine learning;Euclidian distance;60%;30%;NA;90,06%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time domain;NA;1DLBP;Machine learning;Euclidian distance;60%;30%;NA;90,23%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Frequency domain;NA;DWT;Machine learning;Euclidian distance;60%;30%;NA;92,42%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Frequency domain;NA;MFCCs;Machine learning;Euclidian distance;60%;30%;NA;91,94%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Frequency domain;NA;STFT;Machine learning;Euclidian distance;60%;30%;NA;92,14%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;MSDF + MPCC;Machine learning;Euclidian distance;60%;30%;NA;94,08%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;Fiducial + DWT;Machine learning;Euclidian distance;60%;30%;NA;94,12%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;MSDF + DWT;Machine learning;Euclidian distance;60%;30%;NA;94,33%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;MSDF + SFTF;Machine learning;Euclidian distance;60%;30%;NA;94,22%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;1DLBP + SFTF;Machine learning;Euclidian distance;60%;30%;NA;94,14%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;1DLBP + DWT;Machine learning;Euclidian distance;60%;30%;NA;94,58%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;MSDF + MPCC;Machine learning;TFCMF;60%;30%;NA;96,04%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;Fiducial + DWT;Machine learning;TFCMF;60%;30%;NA;96,13%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;MSDF + DWT;Machine learning;TFCMF;60%;30%;NA;97,36%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;MSDF + SFTF;Machine learning;TFCMF;60%;30%;NA;97,08%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;1DLBP + SFTF;Machine learning;TFCMF;60%;30%;NA;97,52%;NA;NA;NA;
liu2022time;MIMIC;1min record;NA;NA;Time + Frequency;NA;1DLBP + DWT;Machine learning;TFCMF;60%;30%;NA;97,86%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time domain;17;fiducial;Machine learning;Euclidian distance;60%;30%;NA;90,74%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time domain;NA;MSDF;Machine learning;Euclidian distance;60%;30%;NA;91,36%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time domain;NA;1DLBP;Machine learning;Euclidian distance;60%;30%;NA;91,69%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Frequency domain;NA;DWT;Machine learning;Euclidian distance;60%;30%;NA;93,76%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Frequency domain;NA;MFCCs;Machine learning;Euclidian distance;60%;30%;NA;92,78%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Frequency domain;NA;STFT;Machine learning;Euclidian distance;60%;30%;NA;93,23%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;MSDF + MPCC;Machine learning;Euclidian distance;60%;30%;NA;95,35%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;Fiducial + DWT;Machine learning;Euclidian distance;60%;30%;NA;95,43%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;MSDF + DWT;Machine learning;Euclidian distance;60%;30%;NA;95,68%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;MSDF + SFTF;Machine learning;Euclidian distance;60%;30%;NA;95,54%;NA;NA;NA;
liu2022time;BIDMC;1min record;NA;NA;Time + Frequency;NA;1DLBP + SFTF;Machine learning;Euclidian distance;60%;30%;NA;95,96%;NA;NA;NA;
